Episode_ID,Season,Episode,Rating,Votes
1,1,1,8.4,41983
2,1,2,8.4,25692
3,1,3,8.0,8601
4,1,4,8.3,7400
5,1,5,7.4,5308
6,1,6,7.6,5198
7,1,7,7.5,4765
8,1,8,7.7,4537
9,1,9,7.1,4102
10,1,10,7.3,3864
11,1,11,7.3,3718
12,1,12,7.5,3607
13,1,13,7.5,3502
14,1,14,7.5,3423
15,1,15,7.4,3365
16,1,16,7.6,3345
17,1,17,8.1,3612
18,1,18,6.7,3376
19,1,19,8.9,5951
20,1,20,7.6,3246
21,1,21,7.6,3113
22,1,22,7.5,3029
23,1,23,7.8,3207
24,1,24,9.2,7120
25,1,25,7.5,2999
26,1,26,8.8,4642
27,1,27,7.5,2930
28,1,28,7.7,2894
29,1,29,7.9,3068
30,1,30,8.4,3890
31,1,31,7.6,2800
32,1,32,7.7,2751
33,1,33,7.8,2870
34,1,34,7.4,2846
35,1,35,8.2,3275
36,1,36,9.0,5452
37,1,37,9.3,7307
38,1,38,8.2,3295
39,1,39,8.0,3056
40,1,40,8.0,2997
41,1,41,8.1,2958
42,1,42,8.0,2927
43,1,43,8.7,4055
44,1,44,7.9,2948
45,1,45,7.7,2882
46,1,46,6.3,2710
47,1,47,6.1,2687
48,1,48,7.9,2949
49,1,49,8.0,3169
50,1,50,7.4,2745
51,1,51,6.9,2361
52,1,52,8.3,2864
53,1,53,8.5,3331
54,1,54,7.0,1927
55,1,55,6.7,1898
56,1,56,6.6,1847
57,1,57,6.5,1825
58,1,58,6.6,1799
59,1,59,6.8,1802
60,1,60,7.0,1801
61,1,61,7.5,2017
62,1,62,7.5,2154
63,1,63,7.5,2130
64,1,64,7.6,2046
65,1,65,8.2,2270
66,1,66,8.0,2186
67,1,67,7.9,2170
68,1,68,6.6,1993
69,1,69,6.8,1996
70,1,70,7.1,1973
71,1,71,7.3,1983
72,1,72,7.2,1935
73,1,73,7.4,1929
74,1,74,7.6,1958
75,1,75,7.5,1920
76,1,76,7.6,1913
77,1,77,7.5,1930
78,1,78,7.2,1917
79,1,79,7.5,1875
80,1,80,7.6,1888
81,1,81,7.5,1850
82,1,82,7.5,1858
83,1,83,8.1,2401
84,1,84,7.9,2019
85,1,85,8.5,2836
86,1,86,9.4,5547
87,1,87,8.1,2266
88,1,88,7.8,1905
89,1,89,7.8,1880
90,1,90,8.9,3767
91,1,91,7.9,1943
92,1,92,7.6,1845
93,1,93,7.2,1827
94,1,94,8.9,4187
95,1,95,8.2,2111
96,1,96,7.3,1820
97,1,97,7.2,1773
98,1,98,6.8,1643
99,1,99,6.8,1602
100,1,100,7.4,1805
101,1,101,6.7,1615
102,1,102,7.0,1519
103,1,103,7.2,1626
104,1,104,7.9,1778
105,1,105,7.7,1613
106,1,106,8.1,1698
107,1,107,8.1,1684
108,1,108,8.2,1717
109,1,109,8.4,2241
110,1,110,9.2,4305
111,1,111,7.8,1641
112,1,112,8.1,1714
113,1,113,7.7,1605
114,1,114,7.8,1683
115,1,115,8.0,1762
116,1,116,7.9,1673
117,1,117,7.8,1692
118,1,118,7.7,1605
119,1,119,9.2,4493
120,1,120,7.9,1668
121,1,121,8.4,2146
122,1,122,8.8,3004
123,1,123,8.2,1751
124,1,124,8.1,1692
125,1,125,9.0,3663
126,1,126,9.5,6741
127,1,127,8.2,1707
128,1,128,8.0,1702
129,1,129,9.2,4329
130,1,130,8.6,2632
131,1,131,7.0,1326
132,1,132,6.5,1309
133,1,133,6.7,1271
